                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64913,                0.56555,                 1.0808,                0.89843,                0.88618,                0.93169,                0.51928,                 1.8651,                0.90959,                 2.3557,             0.00038507,             0.00038507,             0.00038507
                     36,                0.64835,                0.55115,                 1.0806,                0.92863,                0.91127,                0.94761,                0.55309,                 1.5864,                0.80729,                 2.0744,             0.00036307,             0.00036307,             0.00036307
                     37,                0.63094,                 0.5549,                 1.0581,                0.90831,                 0.9167,                0.96331,                0.55512,                 1.6947,                 0.8677,                 2.2462,             0.00034108,             0.00034108,             0.00034108
                     38,                0.62866,                0.53626,                 1.0625,                0.80665,                0.95593,                 0.9424,                0.57342,                 1.6246,                0.85826,                 2.1486,             0.00031908,             0.00031908,             0.00031908
                     39,                0.62192,                0.54599,                 1.0677,                0.92375,                0.94257,                0.97206,                0.57208,                 1.5976,                0.83452,                 2.2147,             0.00029708,             0.00029708,             0.00029708
                     40,                0.60824,                0.53327,                 1.0506,                0.89309,                0.92962,                0.94241,                0.60325,                 1.5122,                0.84604,                 2.0501,             0.00027508,             0.00027508,             0.00027508
                     41,                0.61231,                  0.474,                 1.0831,                0.89808,                 0.9284,                0.94983,                0.56559,                 1.6276,                0.90697,                 2.1899,             0.00025309,             0.00025309,             0.00025309
                     42,                0.59375,                0.42133,                   1.06,                0.89243,                0.91669,                0.93209,                0.58283,                 1.5923,                0.85542,                 2.1345,             0.00023109,             0.00023109,             0.00023109
                     43,                0.56609,                0.39582,                 1.0447,                0.91161,                0.92485,                0.95224,                0.56331,                 1.7175,                0.90062,                 2.3827,             0.00020909,             0.00020909,             0.00020909
                     44,                0.55654,                0.39156,                 1.0325,                0.86883,                0.92762,                0.94936,                 0.5599,                  1.703,                 0.9265,                 2.2765,             0.00018709,             0.00018709,             0.00018709
                     45,                0.54449,                0.38478,                  1.039,                0.95333,                0.93436,                0.97341,                0.57141,                 1.6709,                0.81837,                 2.2515,             0.00016509,             0.00016509,             0.00016509
                     46,                0.53906,                0.38569,                 1.0214,                 0.9293,                0.95781,                0.96656,                0.56271,                 1.6393,                0.80965,                 2.2191,              0.0001431,              0.0001431,              0.0001431
                     47,                0.54187,                0.38077,                 1.0318,                0.92346,                0.95763,                0.96463,                0.58061,                 1.6462,                0.81396,                 2.1938,              0.0001211,              0.0001211,              0.0001211
                     48,                0.50388,                0.35806,                 1.0075,                0.94103,                0.96028,                 0.9669,                0.57959,                  1.613,                0.79076,                 2.1735,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.50849,                0.36012,                 1.0113,                0.92552,                0.94156,                0.96832,                0.56101,                  1.652,                0.80849,                 2.2796,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.48733,                0.34401,                0.99613,                0.88902,                0.95932,                0.95646,                0.58096,                 1.6305,                0.78591,                 2.2719,             5.5106e-05,             5.5106e-05,             5.5106e-05
